distance_km,time_of_day,traffic_level,weather,fuel_quantity,eta_minutes
4.07,Afternoon,Low,Clear,14.1,12.8
4.65,Evening,Medium,Clear,15.1,23.3
4.33,Evening,Medium,Rainy,12.4,28.7
16.38,Night,Medium,Clear,5.7,35.6
5.37,Morning,Medium,Clear,11.1,18.6
9.3,Morning,Medium,Clear,7.6,19.3
22.52,Evening,Low,Clear,9.7,41.3
12.38,Afternoon,Medium,Clear,13.6,28.7
17.02,Morning,Low,Clear,15.4,29.5
5.14,Morning,Low,Clear,6.2,11.9
5.61,Morning,Low,Clear,9.3,8.1
1.98,Night,Low,Clear,6.8,17.8
5.05,Morning,Medium,Clear,5.6,8.8
7.69,Afternoon,Low,Clear,16.1,16.6
5.25,Morning,Medium,Clear,18.4,19.5
3.13,Afternoon,Low,Clear,8.7,11.1
3.9,Morning,Low,Clear,15.5,10.2
12.06,Afternoon,Medium,Clear,18.1,30.3
5.95,Morning,Low,Clear,17.2,15.3
9.74,Evening,Low,Clear,5.3,19.5
13.08,Morning,Medium,Rainy,19.2,42.6
17.57,Afternoon,Low,Rainy,8.8,41.5
1.94,Night,Medium,Clear,8.1,20.0
20.19,Evening,Low,Clear,3.1,32.3
16.07,Afternoon,Low,Clear,10.8,29.1
2.96,Afternoon,Medium,Clear,4.0,11.7
21.97,Afternoon,Low,Clear,6.5,33.9
23.1,Evening,Low,Clear,7.7,42.0
2.47,Night,Low,Clear,16.6,14.1
7.65,Evening,Low,Clear,17.8,22.8
20.35,Afternoon,Medium,Clear,7.4,36.5
18.96,Evening,Low,Clear,17.5,42.8
5.43,Afternoon,Medium,Clear,17.4,17.7
6.02,Morning,High,Clear,15.8,26.4
9.89,Afternoon,Low,Clear,4.6,20.6
12.63,Night,High,Rainy,14.4,48.6
15.84,Morning,Low,Clear,19.0,32.0
9.85,Evening,High,Clear,14.3,31.4
12.1,Morning,Low,Clear,8.0,24.9
18.94,Afternoon,Medium,Rainy,11.0,46.8
1.88,Morning,Low,Clear,13.6,5.1
7.06,Afternoon,Low,Clear,11.2,15.1
18.12,Evening,Medium,Clear,4.2,39.9
22.48,Afternoon,Medium,Clear,7.6,41.2
13.28,Evening,Low,Clear,16.4,26.6
13.77,Evening,Low,Clear,17.5,29.2
3.57,Night,Medium,Clear,4.5,15.2
11.74,Morning,Medium,Clear,19.1,33.8
13.78,Afternoon,High,Rainy,7.9,43.3
6.82,Morning,Medium,Clear,13.9,21.9
7.46,Night,High,Clear,15.5,35.5
10.05,Night,Medium,Clear,16.6,29.1
1.48,Afternoon,Low,Clear,19.0,9.9
8.73,Evening,Low,Rainy,7.6,29.7
6.07,Afternoon,Medium,Clear,17.5,20.8
8.86,Evening,Medium,Clear,4.4,27.2
3.87,Morning,Low,Clear,14.7,13.3
22.37,Evening,Low,Clear,15.4,44.9
15.25,Morning,High,Clear,14.2,37.8
17.3,Evening,Medium,Clear,6.5,33.7
19.94,Evening,Low,Clear,17.7,37.4
12.96,Evening,Low,Rainy,5.0,33.5
3.09,Morning,Low,Clear,3.0,7.2
13.89,Afternoon,Low,Clear,14.9,20.8
15.08,Morning,Low,Clear,10.6,25.8
18.89,Afternoon,Low,Clear,17.3,36.0
11.36,Morning,Medium,Clear,8.9,23.9
4.06,Night,Low,Clear,5.0,18.5
7.81,Afternoon,Medium,Clear,17.1,25.1
9.71,Afternoon,High,Clear,11.9,36.1
16.5,Afternoon,Low,Clear,5.4,27.7
14.7,Afternoon,Medium,Rainy,15.0,44.4
9.55,Evening,Low,Clear,11.2,26.6
24.68,Afternoon,High,Clear,12.9,58.8
15.54,Night,Low,Clear,10.3,30.1
6.69,Afternoon,Medium,Clear,16.9,21.3
3.44,Night,Medium,Clear,16.9,21.2
4.67,Night,Low,Clear,14.8,19.9
6.9,Morning,Low,Clear,3.9,13.6
4.86,Night,Medium,Clear,17.1,21.9
5.48,Morning,Medium,Clear,14.1,17.7
7.84,Evening,Low,Clear,14.5,14.1
5.16,Afternoon,Medium,Clear,8.5,21.6
22.52,Night,Low,Clear,17.8,44.6
2.93,Night,Medium,Clear,15.1,21.1
13.59,Evening,Low,Clear,4.0,24.7
10.85,Evening,High,Clear,9.3,38.5
24.58,Afternoon,Low,Clear,18.0,35.8
3.69,Morning,Low,Clear,2.8,6.3
10.55,Afternoon,Low,Clear,19.3,23.3
24.27,Morning,Low,Clear,14.2,39.3
21.77,Evening,Medium,Clear,13.4,50.9
20.61,Afternoon,Low,Clear,6.9,32.3
7.19,Night,Medium,Clear,6.5,27.1
5.1,Evening,Low,Clear,19.0,18.4
17.05,Evening,Low,Clear,7.4,35.6
23.31,Morning,Low,Clear,16.0,37.8
14.36,Night,Low,Clear,9.1,29.1
14.72,Night,Low,Rainy,4.5,41.7
7.72,Afternoon,Low,Clear,2.2,15.5
19.47,Evening,Low,Clear,11.8,32.1
5.49,Evening,Low,Clear,19.6,16.5
8.77,Morning,Medium,Clear,8.6,21.9
11.21,Afternoon,Medium,Clear,8.4,28.8
13.18,Afternoon,Low,Clear,8.2,22.2
6.82,Morning,Low,Clear,11.4,5.0
3.76,Afternoon,High,Clear,9.9,24.2
15.65,Morning,Medium,Clear,17.8,30.2
7.93,Morning,Medium,Rainy,11.1,22.2
14.95,Morning,Low,Clear,11.1,17.3
4.7,Night,Medium,Rainy,4.5,30.8
12.55,Afternoon,Medium,Clear,19.7,32.1
13.78,Night,Medium,Clear,6.5,33.9
2.24,Afternoon,High,Clear,3.3,22.5
9.08,Afternoon,Low,Clear,13.9,21.7
4.23,Afternoon,Low,Clear,12.7,17.0
2.52,Afternoon,Medium,Rainy,9.5,17.5
24.76,Morning,Medium,Rainy,9.6,52.9
8.74,Evening,Low,Clear,16.1,17.1
20.44,Morning,Low,Clear,5.5,31.6
7.11,Evening,Low,Clear,16.8,19.0
17.36,Evening,Low,Rainy,13.7,44.0
19.25,Morning,Medium,Clear,9.5,36.9
15.3,Morning,Medium,Clear,10.2,32.9
12.32,Evening,Low,Clear,6.6,26.6
10.88,Afternoon,Low,Clear,15.5,29.4
9.37,Morning,Low,Rainy,11.2,24.5
23.31,Night,Low,Clear,7.8,41.5
20.93,Morning,Medium,Clear,12.7,40.9
24.16,Evening,High,Clear,19.9,55.8
3.98,Night,Medium,Clear,9.8,25.4
18.54,Morning,Low,Clear,18.6,32.5
23.52,Morning,High,Clear,8.2,48.0
5.35,Morning,Medium,Clear,3.0,12.5
2.6,Afternoon,Medium,Rainy,5.7,22.8
18.79,Morning,Low,Clear,9.5,30.6
14.79,Evening,Low,Clear,6.0,26.1
21.2,Morning,Low,Rainy,2.0,45.4
4.35,Afternoon,Low,Clear,18.5,11.5
20.09,Night,Low,Clear,17.2,42.4
5.84,Evening,Low,Clear,15.4,19.3
4.93,Evening,Low,Clear,5.0,8.0
4.94,Afternoon,Medium,Clear,4.2,17.1
20.55,Evening,Low,Rainy,3.2,40.6
16.96,Afternoon,Low,Clear,15.0,34.4
13.55,Afternoon,High,Clear,18.7,37.0
9.61,Morning,High,Clear,9.7,31.4
22.05,Night,Medium,Clear,4.1,49.6
10.42,Afternoon,High,Clear,11.2,35.6
20.6,Morning,Medium,Clear,8.3,39.1
11.54,Afternoon,High,Clear,8.7,33.2
10.05,Afternoon,Low,Clear,13.2,19.3
12.1,Evening,Low,Rainy,14.9,39.0
8.23,Evening,Low,Clear,4.0,15.4
18.94,Evening,Low,Clear,2.6,30.1
13.07,Morning,Low,Clear,19.9,27.6
6.57,Afternoon,Medium,Clear,6.2,16.3
22.59,Afternoon,Medium,Clear,3.0,38.9
10.21,Morning,Medium,Clear,5.4,17.6
14.05,Morning,Low,Clear,2.7,20.4
22.76,Evening,Medium,Clear,9.1,45.6
15.98,Morning,Medium,Rainy,16.4,42.6
3.81,Afternoon,Low,Rainy,8.1,21.0
23.56,Morning,Medium,Rainy,10.0,52.9
16.06,Morning,Low,Clear,14.2,27.8
9.04,Morning,Low,Clear,11.2,16.3
4.34,Night,High,Clear,17.5,32.3
20.06,Evening,Low,Clear,17.6,43.2
15.88,Night,Low,Clear,2.2,31.9
13.8,Afternoon,High,Clear,16.0,38.1
22.45,Morning,Medium,Clear,10.3,38.8
19.93,Afternoon,Low,Clear,19.8,33.5
4.64,Afternoon,Low,Clear,10.7,14.2
8.48,Evening,Low,Clear,19.8,24.4
6.96,Morning,Medium,Clear,15.6,21.9
18.85,Afternoon,Low,Clear,6.5,31.8
1.8,Morning,Low,Clear,11.7,10.4
14.68,Afternoon,High,Clear,19.9,40.5
19.3,Evening,Medium,Clear,17.4,46.0
22.04,Afternoon,Low,Clear,3.8,36.1
9.21,Afternoon,Medium,Clear,14.7,23.4
20.71,Afternoon,Medium,Clear,8.2,42.3
3.66,Afternoon,Low,Clear,2.1,9.3
21.31,Evening,Low,Rainy,9.3,47.8
4.06,Night,Medium,Clear,6.2,20.2
10.53,Night,Low,Clear,16.7,27.7
20.14,Evening,Medium,Clear,8.1,48.8
4.6,Afternoon,Low,Rainy,16.9,25.5
6.5,Evening,Low,Clear,2.0,16.5
18.33,Afternoon,Low,Clear,7.5,32.1
18.28,Morning,Low,Clear,6.3,32.3
16.39,Evening,Low,Rainy,6.2,40.0
17.65,Morning,Low,Clear,3.2,27.5
14.03,Night,Medium,Clear,5.4,33.8
7.04,Afternoon,High,Clear,12.0,27.9
9.3,Evening,Medium,Clear,7.2,15.6
5.36,Evening,High,Clear,9.5,27.5
22.8,Night,Low,Clear,8.8,42.4
15.0,Evening,High,Clear,17.8,48.6
10.62,Evening,Low,Clear,18.3,25.5
12.09,Morning,High,Clear,10.9,29.8
23.73,Afternoon,High,Rainy,7.9,59.8
4.68,Morning,Medium,Clear,3.9,10.1
15.07,Evening,High,Clear,19.2,45.8
13.14,Afternoon,Medium,Clear,3.1,28.5
15.67,Evening,Low,Clear,7.4,32.6
1.43,Morning,Low,Clear,7.4,5.0
21.93,Morning,Medium,Clear,7.8,40.3
23.37,Evening,Low,Clear,5.0,36.5
14.56,Morning,Medium,Clear,16.1,33.8
17.72,Morning,High,Clear,4.2,41.4
23.14,Morning,Low,Clear,13.4,40.2
17.97,Night,Medium,Clear,4.2,40.2
4.66,Evening,High,Rainy,3.3,33.2
14.83,Afternoon,High,Clear,18.4,46.6
15.56,Morning,High,Rainy,5.4,44.1
11.18,Afternoon,Medium,Clear,16.8,29.2
18.67,Evening,High,Rainy,11.8,52.3
23.42,Evening,Medium,Clear,3.4,42.5
23.21,Morning,Low,Clear,19.2,40.9
11.82,Morning,Low,Clear,6.4,23.0
3.72,Morning,Medium,Clear,17.5,15.1
24.64,Evening,Low,Clear,5.0,41.8
21.13,Evening,Medium,Clear,17.4,44.7
3.99,Morning,Medium,Clear,2.2,10.0
23.1,Morning,Low,Clear,11.2,38.9
21.88,Morning,Medium,Clear,15.8,38.1
13.45,Night,Medium,Clear,18.8,41.7
15.19,Morning,Low,Clear,18.4,26.3
10.58,Evening,Low,Clear,16.8,27.1
2.31,Evening,Low,Clear,18.0,9.1
9.04,Afternoon,Low,Clear,5.6,19.2
20.27,Morning,High,Clear,7.1,46.6
1.11,Morning,Low,Clear,7.2,5.0
9.0,Evening,Medium,Clear,8.8,22.2
10.56,Evening,Low,Clear,9.1,23.3
13.9,Evening,Low,Clear,11.8,24.8
23.08,Afternoon,Medium,Clear,4.9,42.3
9.31,Morning,Medium,Clear,14.4,26.4
9.33,Night,Low,Clear,5.0,24.9
18.7,Evening,Low,Clear,7.6,34.4
11.85,Morning,Low,Clear,11.1,18.2
6.39,Night,Low,Clear,16.3,23.4
11.86,Evening,Medium,Clear,15.3,31.4
4.38,Afternoon,Low,Clear,13.6,5.7
5.23,Evening,Low,Clear,4.8,15.6
12.96,Evening,Low,Clear,11.8,26.9
11.05,Evening,High,Clear,3.6,37.3
22.96,Morning,High,Rainy,8.8,53.8
9.7,Afternoon,Low,Clear,9.4,9.8
14.93,Night,Medium,Rainy,2.7,44.0
16.17,Morning,Low,Clear,6.9,27.2
1.31,Afternoon,Low,Clear,19.2,5.0
16.92,Afternoon,Medium,Clear,19.2,35.2
5.27,Afternoon,High,Clear,8.3,32.7
24.07,Evening,High,Clear,2.8,52.0
4.57,Night,Medium,Clear,5.2,22.6
10.95,Morning,Low,Clear,9.1,17.2
3.05,Morning,Medium,Rainy,19.1,17.0
24.92,Morning,Low,Clear,4.5,38.2
13.05,Night,Medium,Clear,15.7,35.5
15.29,Evening,Low,Clear,4.0,26.9
2.61,Morning,Medium,Clear,19.7,14.5
19.0,Evening,Low,Clear,8.9,36.0
6.04,Night,Low,Clear,16.0,20.4
22.55,Evening,High,Rainy,8.2,56.5
5.92,Night,Low,Clear,13.3,21.3
5.58,Morning,Medium,Clear,5.5,9.2
1.88,Evening,Low,Clear,4.6,5.0
12.33,Afternoon,Low,Clear,18.9,28.4
14.56,Evening,Low,Clear,18.5,32.9
2.58,Evening,Low,Clear,18.0,13.1
19.61,Evening,High,Clear,13.3,45.2
11.88,Evening,Low,Clear,16.5,24.6
13.59,Morning,High,Clear,3.2,32.6
11.58,Afternoon,Medium,Clear,8.0,22.0
10.62,Night,Low,Clear,7.6,23.0
14.43,Night,Medium,Clear,13.4,39.6
4.73,Morning,Medium,Clear,8.4,18.9
5.37,Morning,Medium,Clear,4.7,13.2
21.68,Morning,Low,Clear,12.7,38.6
23.71,Evening,Low,Clear,16.7,38.8
9.96,Evening,High,Clear,8.9,35.6
7.5,Morning,High,Clear,4.4,22.2
16.46,Afternoon,High,Clear,5.5,41.3
10.81,Evening,Low,Clear,6.3,21.4
1.61,Evening,Medium,Clear,7.4,17.6
4.75,Afternoon,Low,Clear,13.6,10.6
18.18,Afternoon,Low,Clear,12.8,35.0
16.81,Afternoon,Low,Rainy,14.5,38.7
1.65,Morning,Medium,Clear,8.5,9.6
6.33,Afternoon,Low,Clear,16.8,16.0
6.55,Evening,Low,Clear,5.7,13.0
17.13,Night,High,Clear,10.4,47.8
1.47,Evening,Low,Rainy,16.4,18.9
3.5,Evening,Low,Clear,5.2,11.5
20.2,Morning,Low,Rainy,4.0,39.8
5.29,Afternoon,High,Rainy,17.9,37.7
16.67,Morning,Medium,Rainy,8.2,43.2
6.72,Morning,Low,Clear,14.3,11.2
3.39,Evening,Medium,Clear,2.5,17.4
6.84,Night,Medium,Clear,14.4,23.0
18.33,Morning,Low,Clear,7.7,31.6
21.54,Afternoon,Medium,Clear,3.0,42.1
20.93,Evening,Medium,Clear,13.0,38.6
10.53,Morning,Medium,Clear,6.3,23.0
17.03,Afternoon,Low,Clear,9.0,28.8
5.92,Evening,High,Clear,3.5,23.7
8.04,Evening,Medium,Clear,4.6,26.5
22.51,Morning,Low,Clear,7.4,34.0
1.31,Afternoon,Low,Clear,3.6,5.0
3.05,Evening,Low,Clear,18.4,14.3
5.99,Afternoon,Low,Clear,2.1,13.7
1.64,Morning,Medium,Clear,10.7,10.2
5.35,Evening,Low,Rainy,4.2,24.8
14.99,Morning,Low,Clear,7.5,26.3
11.11,Evening,Medium,Clear,18.7,24.7
22.42,Morning,Low,Clear,4.9,33.5
20.62,Night,High,Clear,19.4,54.1
9.2,Afternoon,Low,Clear,5.7,18.9
7.23,Afternoon,Low,Clear,15.3,9.6
10.11,Morning,Low,Clear,11.8,26.4
15.17,Afternoon,Low,Clear,17.9,31.7
7.43,Night,Low,Clear,12.0,22.2
15.98,Night,Medium,Clear,11.6,43.0
10.83,Afternoon,High,Rainy,5.5,46.9
14.25,Afternoon,Low,Rainy,5.0,35.5
11.47,Evening,Medium,Clear,18.5,34.6
8.07,Night,Medium,Clear,7.9,26.9
23.76,Afternoon,Medium,Clear,8.7,44.8
19.33,Afternoon,Low,Clear,15.7,34.3
4.36,Afternoon,Low,Clear,8.1,8.5
21.84,Evening,Low,Rainy,19.1,48.4
12.7,Morning,Medium,Clear,15.3,24.6
22.47,Evening,Medium,Clear,12.8,46.3
20.2,Afternoon,Low,Clear,17.9,32.6
11.21,Evening,Low,Rainy,2.9,30.3
1.54,Morning,High,Clear,6.6,16.2
7.45,Afternoon,Medium,Clear,10.4,21.7
14.0,Afternoon,High,Clear,6.1,35.3
16.2,Evening,Medium,Clear,15.4,47.2
7.19,Morning,Low,Clear,18.5,20.4
4.34,Afternoon,Medium,Rainy,9.6,20.7
21.04,Afternoon,Medium,Clear,8.2,41.7
24.63,Afternoon,Low,Clear,19.3,42.9
13.62,Evening,Medium,Clear,10.0,29.4
5.12,Evening,Medium,Clear,10.8,15.9
7.54,Evening,Low,Clear,8.3,19.1
1.44,Morning,Medium,Clear,18.4,10.6
22.94,Evening,Medium,Clear,12.2,50.0
3.83,Afternoon,High,Clear,15.7,27.4
14.84,Morning,Low,Clear,16.6,31.4
7.58,Morning,Low,Clear,8.2,11.3
14.3,Afternoon,Medium,Rainy,9.8,40.8
16.63,Evening,Low,Clear,17.3,36.0
20.91,Evening,Medium,Clear,8.5,41.5
5.95,Evening,Medium,Clear,16.3,20.5
1.26,Afternoon,Low,Clear,18.9,14.4
4.29,Afternoon,Medium,Clear,13.2,18.1
22.6,Morning,Medium,Clear,15.3,45.4
21.97,Afternoon,Low,Clear,16.5,37.4
15.34,Afternoon,High,Clear,17.2,38.5
15.41,Morning,Medium,Clear,9.1,29.1
16.96,Morning,Medium,Clear,2.9,30.9
5.21,Afternoon,Medium,Rainy,9.2,22.4
22.95,Evening,Low,Clear,14.1,42.6
11.05,Night,High,Clear,10.1,33.5
10.2,Night,Medium,Rainy,15.5,36.6
13.45,Evening,Medium,Rainy,8.4,41.7
2.13,Afternoon,High,Clear,13.4,23.0
4.99,Evening,Low,Clear,5.4,11.9
18.71,Evening,Medium,Clear,15.5,38.7
2.99,Morning,Low,Clear,11.8,5.0
15.48,Afternoon,Low,Clear,5.7,25.8
6.89,Evening,Low,Clear,7.3,18.5
10.34,Afternoon,High,Clear,15.5,36.9
7.93,Afternoon,High,Clear,10.7,27.6
9.54,Afternoon,Medium,Clear,5.9,19.6
18.26,Morning,Medium,Clear,19.4,39.0
8.13,Afternoon,Medium,Clear,14.9,21.2
14.59,Afternoon,High,Clear,19.2,40.1
12.43,Morning,Low,Clear,9.7,25.5
16.93,Morning,Low,Rainy,10.6,39.1
23.48,Evening,Low,Clear,18.2,45.2
18.58,Morning,Medium,Clear,11.5,32.5
6.16,Afternoon,Medium,Clear,14.7,21.3
1.75,Morning,Low,Clear,6.5,7.8
7.29,Night,Low,Rainy,10.0,27.8
15.28,Morning,Medium,Clear,4.2,33.2
2.23,Afternoon,Low,Clear,5.7,10.9
12.91,Night,Medium,Clear,2.0,37.0
15.32,Evening,High,Clear,2.7,40.7
9.02,Morning,Low,Clear,19.6,21.2
19.5,Evening,Low,Clear,6.4,39.4
3.56,Afternoon,Medium,Clear,13.9,17.9
2.8,Afternoon,Medium,Clear,17.1,14.8
18.48,Morning,Medium,Clear,11.9,34.9
12.89,Morning,High,Rainy,4.8,41.5
17.52,Evening,Low,Clear,15.1,30.9
11.44,Afternoon,Medium,Clear,12.8,27.6
6.91,Afternoon,Medium,Clear,15.2,25.2
20.66,Evening,High,Rainy,15.9,53.2
20.19,Evening,Low,Clear,19.6,44.8
17.67,Morning,Medium,Clear,12.3,38.6
7.53,Evening,Medium,Clear,8.1,21.3
15.17,Morning,Low,Clear,13.7,28.5
9.66,Evening,Low,Clear,3.2,19.5
3.2,Evening,High,Clear,18.2,29.9
23.02,Night,Low,Clear,4.1,45.7
4.28,Morning,Low,Clear,7.9,5.0
23.81,Morning,Low,Clear,16.7,42.5
11.7,Morning,High,Clear,12.8,32.8
